"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GFHRYCKW","tvBroadcast","2022","","20h22: Zemmour","20h22","","","","https://www.france.tv/france-2/2022-le-compte-a-rebours/3248788-emission-du-mardi-29-mars-2022.html","#CompteARebours2022|#lecomptearebours2022|#JT20H|#ZoZZ|#ZemmourPresident|#Besancenot|#Zemmour2022|#ZemmourFrance2","2022-03-29","2024-07-15 13:13:32","2024-07-15 16:28:54","","","","","","","","","","","","","France 2","France 2","Français","","","","","","","","","","","France 2; Zemmour","","","","","","","","","","","","","","","","","","","Zemmour, Eric","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IT3898DS","tvBroadcast","2022","","2022, le compte à rebours: Jadot, Arthaud","2022, le compte à rebours","","","","https://www.france.tv/france-2/2022-le-compte-a-rebours/3248788-emission-du-mardi-29-mars-2022.html","#CompteARebours2022|#lecomptearebours2022|#JT20H|#Arthaud|#FaireFace|#Jadot2022","2022-03-28","2024-07-15 13:26:44","2024-07-15 13:27:58","","","","","","","","","","","","","France 2","France 2","Français","","","","","","","","","","","France 2; Zemmour","","","","","","","","","","","","","","","","","","","Jadot, Yannick; Arthaud, Nathalie","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QY5AIEK7","tvBroadcast","2022","","2022, le compte à rebours: Dupont-Aignan","2022, le compte à rebours","","","","https://www.france.tv/france-2/2022-le-compte-a-rebours/3248788-emission-du-mardi-29-mars-2022.html","#JT20h|#CompteARebours2022|#LeCompteARebours2022|#2022NDA|#ChoisirLaLiberté","2022-04-07","2024-07-15 13:28:00","2024-07-15 13:29:54","","","","","","","","","","","","","France 2","France 2","Français","","","","","","","","","","","France 2; Zemmour","","","","","","","","","","","","","","","","","","","Dupont-Aignan, Nicolas","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68MXH5T6","tvBroadcast","2022","","2022, le compte à rebours: Roussel","2022, le compte à rebours","","","","https://www.france.tv/france-2/2022-le-compte-a-rebours/3248788-emission-du-mardi-29-mars-2022.html","#JT20h|#CompteARebours2022|#LeCompteARebours2022|#Roussel|#Roussel2022|#LesJoursHeureux","2022-04-06","2024-07-15 13:28:45","2024-07-15 13:29:42","","","","","","","","","","","","","France 2","France 2","Français","","","","","","","","","","","France 2; Zemmour","","","","","","","","","","","","","","","","","","","Roussel, Fabien","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUUJUFDI","tvBroadcast","2022","","2022, le compte à rebours: Pécresse, Lassalle","2022, le compte à rebours","","","","https://www.youtube.com/watch?v=PfSnN5oGW74 (Pécresse)","#CompteARebours2022|#lecomptearebours2022|#LaFranceAuthentique|#JeanLassalle2022|#Pécresse2022 #Pécresse2022 #jeanlassalle2022","2022-03-30","2024-07-15 16:13:06","2024-07-15 16:17:43","","","","","","","","","","","","","France 2","France 2","Français","","","","","","","","","","","France 2; Zemmour","","","","","","","","","","","","","","","","","","","Pécresse, Valérie; Lassalle, Jean","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WDE8SWS6","tvBroadcast","2022","","2022, le compte à rebours: Hidalgo","2022, le compte à rebours","","","","https://www.youtube.com/watch?v=-jpsTmZXpc0","#CompteARebours2022|#LeCompteARebours2022|#Hidalgo|#Hidalgo2022|#JT20h","2022-04-04","2024-07-15 16:17:56","2024-07-15 16:29:24","","","","","","","","","","","","","France 2","France 2","Français","","","","","","","","","","","France 2; Zemmour","","","","","","","","","","","","","","","","","","","Hidalgo, Anne","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIGGNH5L","tvBroadcast","2022","","20h22: Hidalgo","20h22","","","","https://www.youtube.com/watch?v=Toi5qFRLi90","#20h22|(spécifique) #Le20h|#JT20H|(génériques)","2022-01-25","2024-07-15 16:20:06","2024-07-15 16:29:18","","","","","","","","","","","","","France 2","France 2","Français","","","","","","","","","","","France 2; Zemmour","","","","","","","","","","","","","","","","","","","Hidalgo, Anne","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4QQF6UTB","tvBroadcast","2022","","2022, le compte à rebours: Mélenchon","2022, le compte à rebours","","","","https://www.youtube.com/watch?v=ALadzR2-jMA","#MélenchonFrance2|#UnionPopulaire|#Mélenchon2022|#JT20h|#CompteARebours2022|#LeCompteARebours2022","2022-04-06","2024-07-15 16:21:14","2024-07-15 16:23:05","","","","","","","","","","","","","France 2","France 2","Français","","","","","","","","","","","France 2; Zemmour","","","","","","","","","","","","","","","","","","","Mélenchon, Jean-Luc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z3TXECYY","tvBroadcast","2022","","20h22: Le Pen","20h22","","","","","#20h22|(spécifique) #Le20h|#JT20H|(génériques)","2022-02-07","2024-07-15 16:22:26","2024-07-15 16:31:49","","","","","","","","","","","","","France 2","France 2","Français","","","","","","","","","","","France 2; Zemmour","","","","","","","","","","","","","","","","","","","Le Pen, Marine","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8S56XA7Z","tvBroadcast","2022","","20h22: Pécresse","20h22","","","","https://www.youtube.com/watch?v=4WW3YziSJfY","#20h22|(spécifique) #Le20h|#JT20H|(génériques)|#Pécresse|#Pécresse2022","2022-02-15","2024-07-15 16:23:23","2024-07-15 16:30:03","","","","","","","","","","","","","France 2","France 2","Français","","","","","","","","","","","France 2; Zemmour","","","","","","","","","","","","","","","","","","","Pécresse, Valérie","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B6K5MJ38","tvBroadcast","2022","","2022, le compte à rebours: Zemmour","2022, le compte à rebours","","","","https://www.youtube.com/watch?v=t0u4WSdjxJU","#20h22|(spécifique) #Le20h|#JT20H|(génériques)","2022-02-01","2024-07-15 16:27:12","2024-07-15 16:28:08","","","","","","","","","","","","","France 2","France 2","Français","","","","","","","","","","","France 2; Zemmour","","","","","","","","","","","","","","","","","","","Zemmour, Eric","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
